date,precip_mm,temp_c,pet_mm,discharge_mm
2000-08-31,0.4,16.65,3.85,1.744
2000-09-01,0.32,12.41,3.8,1.623
2000-09-02,4.89,14.03,3.76,1.858
2000-09-03,0.19,13.64,3.72,1.81
2000-09-04,0.84,13.17,3.68,1.789
2000-09-05,0.11,17.89,3.64,1.964
2000-09-06,2.47,15.06,3.59,2.101
2000-09-07,0.78,11.61,3.55,1.609
2000-09-08,2.93,15.85,3.5,2.087
2000-09-09,1.56,18.13,3.46,2.028
2000-09-10,2.78,15.83,3.41,2.271
2000-09-11,0.03,10.61,3.37,1.851
2000-09-12,0.34,12.56,3.32,1.822
2000-09-13,6.37,15.93,3.28,2.15
2000-09-14,0.37,11.86,3.23,2.144
2000-09-15,0.86,14.04,3.18,2.158
2000-09-16,0.03,14.57,3.13,2.049
2000-09-17,0.01,11.04,3.09,1.934
2000-09-18,6.53,12.65,3.04,1.865
2000-09-19,1.21,6.15,2.99,2.141
2000-09-20,0.57,10.46,2.94,1.905
2000-09-21,0.01,11.87,2.89,2.163
2000-09-22,11.29,9.75,2.84,2.648
2000-09-23,0.79,15.37,2.79,2.491
2000-09-24,2.73,9.12,2.74,2.491
2000-09-25,0.35,10.96,2.69,2.397
2000-09-26,0.23,11.97,2.64,2.371
2000-09-27,0.96,14.46,2.59,1.77
2000-09-28,1.71,8.57,2.54,1.902
2000-09-29,0.09,13.63,2.49,1.708
2000-09-30,0.29,11.19,2.44,1.637
2000-10-01,4.97,9.07,2.39,1.965
2000-10-02,5.27,11.82,2.33,2.248
2000-10-03,0.04,11.15,2.28,1.927
2000-10-04,0.98,9.42,2.23,2.239
2000-10-05,0.18,10.62,2.18,2.088
2000-10-06,5.09,9.57,2.13,2.078
2000-10-07,1.01,10.43,2.08,1.769
2000-10-08,2.13,11.39,2.03,1.884
2000-10-09,0.04,13.1,1.97,1.871
2000-10-10,4.17,7.32,1.92,2.175
2000-10-11,0.03,13.92,1.87,2.138
2000-10-12,0.26,5.61,1.82,1.845
2000-10-13,0.18,9.08,1.77,1.799
2000-10-14,3.4,10.42,1.72,2.022
2000-10-15,0.27,9.67,1.67,1.762
2000-10-16,6.36,7.72,1.61,2.12
2000-10-17,0.35,8.42,1.56,2.014
2000-10-18,19.01,7.71,1.51,3.408
2000-10-19,0.01,7.38,1.46,3.241
2000-10-20,1.09,10.13,1.41,2.941
2000-10-21,1.47,9.01,1.36,2.713
2000-10-22,0.09,6.77,1.31,2.772
2000-10-23,4.82,9.82,1.26,1.852
2000-10-24,3.89,8.51,1.21,2.232
2000-10-25,0.28,9.38,1.16,2.06
2000-10-26,0.5,8.89,1.11,2.291
2000-10-27,1.77,5.84,1.06,2.295
2000-10-28,4.4,6.24,1.01,2.172
2000-10-29,8.64,8.73,0.96,2.538
2000-10-30,0.19,8.33,0.91,2.541
2000-10-31,4.38,6.94,0.87,2.606
2000-11-01,6.07,7.09,0.82,2.839
2000-11-02,0.49,9.28,0.77,2.694
2000-11-03,0.16,5.42,0.72,2.264
2000-11-04,0.25,7.57,0.68,2.195
2000-11-05,2.49,5.95,0.63,1.91
2000-11-06,1.08,5.8,0.59,1.688
2000-11-07,0.07,8.31,0.54,1.736
2000-11-08,4.78,7.64,0.5,2.013
2000-11-09,2.35,7.5,0.45,2.343
2000-11-10,7.33,8.37,0.41,2.298
2000-11-11,1.77,5.68,0.36,2.529
2000-11-12,3.35,6.89,0.32,2.824
2000-11-13,0.06,4.79,0.28,2.619
2000-11-14,0.27,5.95,0.24,2.226
2000-11-15,5.32,4.93,0.2,2.195
2000-11-16,3.29,5.27,0.15,2.294
2000-11-17,1.29,6.16,0.11,2.133
2000-11-18,1.23,3.23,0.07,2.174
2000-11-19,1.42,8.94,0.03,2.297
2000-11-20,0.73,2.64,0.0,1.724
2000-11-21,3.38,2.13,0.0,2.051
2000-11-22,0.1,6.77,0.0,1.924
2000-11-23,0.18,5.94,0.0,1.826
2000-11-24,1.22,5.51,0.0,2.041
2000-11-25,2.69,5.42,0.0,1.887
2000-11-26,0.81,4.05,0.0,1.76
2000-11-27,1.34,2.18,0.0,2.074
2000-11-28,2.54,4.04,0.0,1.933
2000-11-29,3.02,2.45,0.0,2.069
2000-11-30,3.15,5.67,0.0,2.137
2000-12-01,0.26,3.34,0.0,2.203
2000-12-02,0.4,1.9,0.0,2.083
2000-12-03,0.56,2.82,0.0,1.814
2000-12-04,3.3,4.22,0.0,1.907
2000-12-05,0.66,2.19,0.0,1.75
2000-12-06,0.02,1.59,0.0,1.789
2000-12-07,2.83,3.65,0.0,1.985
2000-12-08,7.67,3.58,0.0,2.411
2000-12-09,5.03,2.01,0.0,2.295
2000-12-10,0.51,2.02,0.0,2.57
2000-12-11,3.07,3.36,0.0,2.672
2000-12-12,0.12,-0.06,0.0,2.622
2000-12-13,1.36,-0.04,0.0,2.15
2000-12-14,1.91,1.28,0.0,2.028
2000-12-15,4.13,2.23,0.0,2.182
2000-12-16,0.59,3.23,0.0,2.121
2000-12-17,0.64,5.5,0.0,2.07
2000-12-18,4.42,4.22,0.0,2.192
2000-12-19,0.01,2.14,0.0,2.315
2000-12-20,3.96,2.38,0.0,2.166
2000-12-21,6.34,0.37,0.0,2.48
2000-12-22,8.04,2.29,0.0,2.739
2000-12-23,3.62,1.71,0.0,2.689
2000-12-24,0.1,2.9,0.0,2.853
2000-12-25,0.0,0.57,0.0,2.601
2000-12-26,0.68,3.23,0.0,2.185
2000-12-27,0.67,5.23,0.0,1.818
2000-12-28,4.32,1.92,0.0,2.005
2000-12-29,9.89,2.92,0.0,2.503
2000-12-30,3.18,3.47,0.0,2.51
2000-12-31,9.24,1.27,0.0,3.127
2001-01-01,0.07,2.52,0.0,3.022
2001-01-02,5.47,2.08,0.0,3.132
2001-01-03,2.29,2.23,0.0,2.674
2001-01-04,7.47,0.48,0.0,2.925
2001-01-05,0.05,2.07,0.0,2.295
2001-01-06,2.45,3.0,0.0,2.551
2001-01-07,0.1,4.91,0.0,2.186
2001-01-08,3.23,3.92,0.0,2.005
2001-01-09,8.6,6.31,0.0,2.571
2001-01-10,1.79,0.47,0.0,2.579
2001-01-11,0.76,3.75,0.0,2.331
2001-01-12,5.04,2.38,0.0,2.667
2001-01-13,9.4,6.4,0.0,2.918
2001-01-14,2.55,0.42,0.0,2.842
2001-01-15,2.4,0.37,0.0,2.899
2001-01-16,0.47,0.86,0.0,2.707
2001-01-17,0.12,-2.17,0.0,2.499
2001-01-18,1.61,1.05,0.0,1.947
2001-01-19,15.09,0.61,0.0,2.548
2001-01-20,4.44,2.45,0.0,2.763
2001-01-21,2.84,2.86,0.0,2.959
2001-01-22,0.53,5.96,0.0,2.925
2001-01-23,0.2,4.14,0.0,2.864
2001-01-24,1.57,1.12,0.0,2.066
2001-01-25,2.6,0.51,0.0,1.956
2001-01-26,0.38,3.33,0.0,1.822
2001-01-27,0.0,-0.25,0.0,1.679
2001-01-28,0.13,6.1,0.0,1.709
2001-01-29,5.79,4.84,0.0,1.906
2001-01-30,1.77,1.59,0.0,2.082
2001-01-31,12.63,-0.85,0.0,2.509
2001-02-01,0.09,5.34,0.0,2.84
2001-02-02,0.14,2.46,0.0,2.864
2001-02-03,1.74,5.22,0.0,2.452
2001-02-04,1.64,-0.39,0.0,2.214
2001-02-05,0.6,1.67,0.0,1.716
2001-02-06,1.23,2.94,0.0,1.815
2001-02-07,10.43,3.09,0.0,2.337
2001-02-08,2.56,2.16,0.0,2.436
2001-02-09,6.38,4.38,0.0,2.925
2001-02-10,2.85,1.07,0.0,2.973
2001-02-11,2.51,2.99,0.0,2.891
2001-02-12,0.14,3.59,0.0,2.207
2001-02-13,1.41,4.46,0.0,2.265
2001-02-14,0.15,4.93,0.0,1.902
2001-02-15,4.53,1.34,0.0,2.074
2001-02-16,0.08,0.6,0.0,1.825
2001-02-17,13.62,6.31,0.0,2.739
2001-02-18,3.34,4.51,0.0,2.997
2001-02-19,2.82,2.44,0.0,3.045
2001-02-20,2.56,7.13,0.0,2.84
2001-02-21,4.0,4.35,0.0,3.062
2001-02-22,1.88,6.57,0.0,2.34
2001-02-23,0.0,4.44,0.0,2.294
2001-02-24,0.66,8.53,0.0,1.983
2001-02-25,0.15,8.01,0.0,1.906
2001-02-26,0.85,4.11,0.0,1.718
2001-02-27,2.96,6.65,0.02,1.727
2001-02-28,3.46,6.1,0.05,1.848
2001-03-01,3.2,7.65,0.09,2.169
2001-03-02,0.69,3.09,0.13,2.163
2001-03-03,1.31,6.5,0.17,2.247
2001-03-04,6.09,7.36,0.22,2.332
2001-03-05,10.67,1.84,0.26,2.94
2001-03-06,0.74,3.1,0.3,2.582
2001-03-07,0.95,1.5,0.34,2.857
2001-03-08,3.58,5.16,0.39,2.647
2001-03-09,8.78,7.25,0.43,3.027
2001-03-10,2.8,8.94,0.47,2.559
2001-03-11,1.1,6.2,0.52,2.453
2001-03-12,3.16,9.43,0.56,2.708
2001-03-13,0.9,3.53,0.61,2.632
2001-03-14,3.28,3.01,0.66,1.953
2001-03-15,1.6,6.43,0.7,2.153
2001-03-16,0.01,7.43,0.75,1.788
2001-03-17,4.32,6.72,0.8,2.01
2001-03-18,0.6,2.78,0.84,2.252
2001-03-19,0.13,6.86,0.89,1.841
2001-03-20,0.69,4.56,0.94,1.728
2001-03-21,2.29,8.64,0.99,1.962
2001-03-22,0.96,8.16,1.04,1.987
2001-03-23,1.79,5.68,1.09,1.668
2001-03-24,1.87,6.66,1.13,1.851
2001-03-25,4.31,5.71,1.18,2.323
2001-03-26,1.19,7.83,1.23,2.293
2001-03-27,0.49,10.0,1.28,2.069
2001-03-28,0.04,6.25,1.33,1.85
2001-03-29,0.52,9.37,1.38,2.103
2001-03-30,1.86,7.43,1.44,1.905
2001-03-31,2.02,7.04,1.49,1.864
2001-04-01,1.18,8.55,1.54,1.756
2001-04-02,1.4,6.83,1.59,1.914
2001-04-03,2.36,7.93,1.64,2.013
2001-04-04,2.32,6.78,1.69,2.09
2001-04-05,1.31,13.24,1.74,2.159
2001-04-06,0.38,9.52,1.79,2.054
2001-04-07,9.01,8.19,1.85,2.315
2001-04-08,1.63,10.15,1.9,2.517
2001-04-09,0.15,9.64,1.95,2.28
2001-04-10,0.14,9.56,2.0,2.247
2001-04-11,0.51,11.37,2.05,2.333
2001-04-12,1.21,11.79,2.1,1.607
2001-04-13,1.31,9.35,2.15,1.696
2001-04-14,1.96,9.4,2.21,1.755
2001-04-15,0.53,10.14,2.26,1.674
2001-04-16,3.92,6.22,2.31,2.07
2001-04-17,1.43,7.93,2.36,2.3
2001-04-18,1.84,13.83,2.41,1.897
2001-04-19,5.25,14.52,2.46,2.275
2001-04-20,1.8,10.87,2.51,2.418
2001-04-21,0.28,12.66,2.56,2.148
2001-04-22,5.95,12.26,2.62,2.396
2001-04-23,5.7,17.93,2.67,2.509
2001-04-24,0.04,14.15,2.72,2.349
2001-04-25,1.07,11.79,2.77,2.207
2001-04-26,2.14,10.26,2.82,2.175
2001-04-27,0.01,9.09,2.87,2.157
2001-04-28,2.7,12.85,2.91,1.953
2001-04-29,2.74,11.06,2.96,2.025
2001-04-30,0.53,9.86,3.01,2.01
2001-05-01,4.41,11.54,3.06,2.231
2001-05-02,0.29,10.79,3.11,2.163
2001-05-03,0.0,16.46,3.16,2.069
2001-05-04,2.51,14.98,3.2,1.935
2001-05-05,3.21,13.32,3.25,2.256
2001-05-06,3.23,16.42,3.3,2.086
2001-05-07,3.39,13.74,3.34,2.26
2001-05-08,2.28,11.99,3.39,2.25
2001-05-09,5.21,16.88,3.44,2.568
2001-05-10,0.07,15.03,3.48,2.268
2001-05-11,0.05,11.99,3.53,2.096
2001-05-12,4.24,13.81,3.57,2.129
2001-05-13,0.05,12.55,3.61,1.971
2001-05-14,1.3,11.65,3.66,2.055
2001-05-15,0.05,16.39,3.7,1.975
2001-05-16,3.89,18.47,3.74,2.264
2001-05-17,0.02,11.96,3.78,1.696
2001-05-18,0.79,15.99,3.83,1.87
2001-05-19,0.31,13.68,3.87,1.674
2001-05-20,3.97,14.11,3.91,1.969
2001-05-21,0.78,14.0,3.95,1.76
2001-05-22,0.53,13.57,3.98,2.007
2001-05-23,0.29,15.49,4.02,1.813
2001-05-24,0.63,13.83,4.06,1.979
2001-05-25,0.1,16.14,4.1,1.7
2001-05-26,1.13,15.59,4.13,1.891
2001-05-27,1.55,15.31,4.17,1.574
2001-05-28,0.04,14.07,4.21,1.833
2001-05-29,0.32,14.82,4.24,1.803
2001-05-30,4.13,17.58,4.27,1.833
2001-05-31,1.33,17.16,4.31,2.043
2001-06-01,0.13,14.29,4.34,1.891
2001-06-02,0.38,16.53,4.37,1.855
2001-06-03,0.4,17.91,4.4,1.8
2001-06-04,1.76,13.15,4.43,1.668
2001-06-05,2.85,17.66,4.46,2.036
2001-06-06,0.0,15.32,4.49,1.823
2001-06-07,0.02,17.87,4.52,1.88
2001-06-08,2.36,15.27,4.55,1.84
2001-06-09,0.31,13.26,4.58,1.754
2001-06-10,0.58,13.68,4.6,1.804
2001-06-11,4.31,17.1,4.63,1.82
2001-06-12,3.3,17.59,4.65,2.11
2001-06-13,0.78,15.33,4.68,2.06
2001-06-14,0.62,18.47,4.7,2.087
2001-06-15,0.06,13.93,4.72,2.026
2001-06-16,0.98,17.18,4.74,1.884
2001-06-17,1.68,14.95,4.76,1.816
2001-06-18,0.0,16.12,4.78,1.774
2001-06-19,2.3,17.57,4.8,1.703
2001-06-20,10.68,15.8,4.82,2.41
2001-06-21,8.84,16.8,4.84,3.029
2001-06-22,3.06,19.62,4.85,3.082
2001-06-23,0.02,16.5,4.87,2.857
2001-06-24,9.35,19.36,4.88,3.452
2001-06-25,0.74,15.47,4.9,2.623
2001-06-26,0.22,18.82,4.91,2.308
2001-06-27,2.81,20.68,4.92,2.478
2001-06-28,3.62,12.88,4.93,2.41
2001-06-29,0.22,16.26,4.94,1.873
2001-06-30,0.85,19.03,4.95,2.04
2001-07-01,0.23,17.49,4.96,1.81
2001-07-02,1.44,18.66,4.97,1.818
2001-07-03,0.11,16.73,4.98,1.731
2001-07-04,2.43,18.13,4.98,1.74
2001-07-05,1.65,17.66,4.99,1.828
2001-07-06,2.17,20.31,4.99,2.042
2001-07-07,5.15,18.5,5.0,2.233
2001-07-08,0.07,18.67,5.0,2.215
2001-07-09,0.32,17.17,5.0,2.028
2001-07-10,0.0,17.02,5.0,2.0
2001-07-11,0.09,17.13,5.0,1.825
2001-07-12,0.9,18.79,5.0,1.629
2001-07-13,1.04,17.15,5.0,1.591
2001-07-14,0.0,18.56,4.99,1.604
2001-07-15,9.59,22.12,4.99,2.098
2001-07-16,1.84,19.7,4.99,2.299
2001-07-17,2.75,17.29,4.98,2.332
2001-07-18,0.99,20.33,4.97,2.299
2001-07-19,2.7,17.09,4.97,2.598
2001-07-20,0.08,13.81,4.96,2.023
2001-07-21,0.0,15.85,4.95,1.969
2001-07-22,2.73,14.1,4.94,1.847
2001-07-23,0.48,17.11,4.93,1.9
2001-07-24,0.0,17.81,4.92,1.752
2001-07-25,1.61,21.1,4.9,1.834
2001-07-26,5.3,18.36,4.89,2.025
2001-07-27,2.81,17.23,4.88,2.127
2001-07-28,0.6,19.29,4.86,2.156
2001-07-29,0.03,13.16,4.85,2.122
2001-07-30,0.27,18.01,4.83,1.832
2001-07-31,2.43,19.04,4.81,1.884
2001-08-01,0.02,14.49,4.79,1.922
2001-08-02,7.54,19.68,4.77,2.081
2001-08-03,0.52,18.02,4.75,2.074
2001-08-04,0.19,16.45,4.73,2.179
2001-08-05,1.47,18.49,4.71,2.116
2001-08-06,1.24,21.71,4.69,2.277
2001-08-07,3.27,17.47,4.66,1.776
2001-08-08,0.58,17.54,4.64,1.978
2001-08-09,0.3,16.05,4.62,1.971
2001-08-10,6.13,15.21,4.59,2.177
2001-08-11,0.82,18.5,4.56,2.2
2001-08-12,2.09,15.05,4.54,2.198
2001-08-13,1.54,16.83,4.51,2.24
2001-08-14,0.1,15.66,4.48,2.026
2001-08-15,1.04,17.49,4.45,1.917
2001-08-16,0.93,17.12,4.42,1.836
2001-08-17,0.04,18.44,4.39,1.726
2001-08-18,3.28,15.27,4.36,1.831
2001-08-19,1.12,15.66,4.32,1.87
2001-08-20,0.02,14.15,4.29,1.943
2001-08-21,0.76,15.13,4.26,1.805
2001-08-22,0.02,16.68,4.22,1.7
2001-08-23,13.25,17.35,4.19,2.371
2001-08-24,4.23,13.9,4.15,2.615
2001-08-25,8.63,17.38,4.12,3.236
2001-08-26,2.2,18.26,4.08,3.26
2001-08-27,1.26,16.27,4.04,3.189
